Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
28,39,Aiden Truettner,MU20,6198212,100618,0:16:21.2,0:33:24.8,0:50:52.5
,,Michigan Tech University,,,,,,
29,34,Joshua Albrecht,MU20,6520092,,0:16:07.5,0:33:12.3,0:50:58.5
,,Michigan Tech University,,,,,,
30,2,Luke Brown,MU23,6373988,3530906,0:15:32.0,0:33:04.3,0:51:02.4
,,Moose Nordic,,,,,,
31,43,Gabe Pfeiffer,MU20,6645212,,0:16:22.5,0:33:29.6,0:51:05.9
,,Michigan Tech University,,,,,,
32,116,David Joda,MSr,,,0:16:24.0,0:33:34.3,0:51:15.0
,,Peak Nordic/MYSL/EWRP,,,,,,
33,18,Anders Sonnesyn,MU18,6534959,3530974,0:15:57.8,0:33:21.3,0:51:30.4
,,Wayzata Nordic Ski Club,,,,,,
34,5,Xavier Mansfield,MU20,6539813,3530865,0:16:50.3,0:34:02.2,0:51:43.6
,,Northern Michigan University,,,,,,
35,38,Henry Hall,MU18,6641708,,0:16:10.5,0:33:54.4,0:51:47.0
,,Loppet Nordic Racing,,,,,,
36,27,Ryan Steger,MU20,6662712,3530997,0:15:56.9,0:33:24.1,0:51:49.7
,,College of Saint Scholastica,,,,,,
37,59,Kieran Mullen,MU18,6644314,,0:16:33.4,0:34:09.6,0:52:01.5
,,Lakeland Nordic Ski Team,,,,,,
38,41,Thomas Woolhouse,MU20,6646301,,0:16:09.1,0:33:38.0,0:52:08.0
,,University of Wisconsin - Green Bay,,,,,,
39,23,Samuel Myers,MU20,6570728,,0:15:59.9,0:33:42.0,0:52:12.1
,,University of Wisconsin - Green Bay,,,,,,
40,47,August Schatzlein,MU18,6747091,,0:16:16.7,0:33:53.7,0:52:19.0
,,Loppet Nordic Racing,,,,,,
41,102,David Ecker,MU18,6638944,,0:17:09.0,0:34:44.7,0:53:07.8
,,Chippewa Valley Nordic,,,,,,
42,54,Matthew Bourne,MU18,6607241,3530991,0:16:50.3,0:34:44.8,0:53:11.8
,,Endurance United,,,,,,
43,21,Torsten Brinkema,MU20,6569416,,0:16:08.0,0:34:26.3,0:53:14.2
,,Loppet Nordic Racing,,,,,,
44,17,Ian Ivens,MU20,6649909,,0:16:08.8,0:34:03.2,0:53:16.6
,,Loppet Nordic Racing,,,,,,
45,37,James Schneider,MU18,6608562,,0:16:19.7,0:34:25.3,0:53:24.9
,,Loppet Nordic Racing,,,,,,
46,49,Joseph Lynch,MU18,6664536,,0:16:51.6,0:34:47.6,0:53:32.0
,,Loppet Nordic Racing,,,,,,
47,16,Shad Kraftson,MU20,6632806,,0:16:43.6,0:35:02.1,0:53:45.9
,,University of Wisconsin - Green Bay,,,,,,
48,46,Tres Green,MU20,6618870,,0:16:48.3,0:34:54.2,0:53:50.1
,,Michigan Tech University,,,,,,
49,35,Cory Rouw,MU23,6441254,,0:16:36.8,0:35:03.8,0:53:57.8
,,Endurance United,,,,,,
www.SuperiorTiming.com,,,12/20/2017 20:50,,,,,2
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
50,63,Evan Wetzel,MU23,6720064,3531011,0:16:53.1,0:35:03.9,0:54:07.2
,,Peak Nordic,,,,,,
51,95,Alexander Kelling,MU20,6820922,,0:17:05.7,0:35:34.0,0:54:37.7
,,Mt. Itasca Nordic,,,,,,
52,57,Hunter Dercks,MU20,6666887,,0:17:08.2,0:35:57.4,0:54:38.3
53,51,Eli Gore,MU18,6644992,,0:16:49.9,0:35:06.8,0:54:41.1
,,Madison Nordic Ski Club,,,,,,
54,32,Peter Moore,MU18,6643159,,0:16:16.8,0:34:31.1,0:54:45.1
,,Endurance United,,,,,,
55,58,Charlie Reinhardt,MU18,6707358,,0:17:05.8,0:35:39.4,0:54:45.2
,,Loppet Nordic Racing,,,,,,
56,85,Keelan Gorman,MU18,6797146,,0:17:26.2,0:35:45.9,0:54:45.5
,,Loppet Nordic Racing,,,,,,
57,28,Ryan Mead,MU18,6638886,,0:17:12.3,0:35:49.6,0:55:12.5
,,Nordicwerks SkiKlubb,,,,,,
58,91,Gabe Raguse,MU20,6821594,,0:17:41.0,0:36:21.5,0:55:32.7
,,College of Saint Scholastica,,,,,,
59,86,Conor Weberg,MU20,6822554,,0:17:10.7,0:36:12.7,0:55:45.6
,,College of Saint Scholastica,,,,,,
60,94,Benjamin Gustafson,MU20,6746184,,0:17:25.0,0:36:23.0,0:56:02.0
,,Ely Nordic,,,,,,
61,42,Jackson Adler,MU18,6631000,,0:16:28.5,0:35:35.8,0:56:18.8
,,Ashwaubenon Nordic Ski Team,,,,,,
62,98,Ian Ruh,MU18,6640221,,0:17:25.7,0:36:26.5,0:56:25.1
,,Stillwater Nordic Ski Team,,,,,,
63,65,Ethan Erickson,MU18,6629505,,0:17:50.0,0:36:53.0,0:56:47.0
,,Nordicwerks SkiKlubb,,,,,,
64,61,Kyle Thieme,MU20,6606693,,0:17:38.2,0:37:08.8,0:56:51.9
,,Ashwaubenon Nordic Ski Team,,,,,,
65,74,Benjamin Boelter,MU18,6736094,,0:17:41.7,0:36:49.5,0:56:51.9
,,Sartell,,,,,,
66,53,Nicholas Byrne,MU20,6716898,,0:17:35.8,0:37:09.4,0:57:19.4
,,Loppet Nordic Racing,,,,,,
67,121,Nick Petersen,MU20,,,0:18:04.9,0:37:20.6,0:57:19.4
,,Full Send Nordic Ski Team,,,,,,
68,126,Cole Roecker,MU18,,,0:18:38.4,0:37:46.5,0:57:22.3
,,Peak Nordic,,,,,,
69,62,Simon Brooks,MU18,6766984,,0:17:52.1,0:37:28.1,0:57:29.0
,,Endurance United,,,,,,
70,114,Milan Baic,M Msr,4930152,,0:18:48.8,0:37:39.7,0:57:29.5
,,Vasa Ski Club,,,,,,
71,76,Conner Nilsen,MU20,6665913,,0:18:03.8,0:37:23.2,0:57:32.1
,,Peak Nordic,,,,,,
72,90,Luke Rambo,MU20,6819478,,0:18:19.1,0:37:48.2,0:57:37.3
,,Superiorland Ski Club,,,,,,
73,69,Jake Stiele,MU20,6648182,,0:18:03.0,0:37:26.2,0:57:44.3
,,College of Saint Scholastica,,,,,,
74,60,Matthew Clarke,MU18,6614150,,0:17:44.7,0:37:29.4,0:57:44.9
,,Loppet Nordic Racing,,,,,,
www.SuperiorTiming.com,,,12/20/2017 20:50,,,,,3
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
75,110,Peter Carlen,MU18,6797161,,0:18:20.1,0:38:03.6,0:58:11.7
,,Loppet Nordic Racing,,,,,,
76,48,Andrew Haines,MU18,6615785,,0:17:55.7,0:37:57.1,0:58:20.1
,,Nordicwerks SkiKlubb,,,,,,
77,75,Henry Snider,MU18,6746101,,0:18:27.6,0:37:56.5,0:58:20.7
,,Endurance United,,,,,,
78,66,James Woolhouse,MU18,6646244,,0:17:56.5,0:38:05.0,0:58:21.2
,,Mora Ski Club,,,,,,
79,113,Matthew Egger,MU18,6671614,,0:18:36.6,0:38:01.7,0:58:22.3
,,Loppet Nordic Racing,,,,,,
80,109,Luke MacKinnon,MU18,6803951,,0:18:47.3,0:38:22.7,0:58:22.4
,,Loppet Nordic Racing,,,,,,
81,78,Ilhan Onder,MU18,6638803,3531015,0:18:38.2,0:38:19.5,0:58:37.8
,,Copper Country Ski Tigers,,,,,,
82,112,Charles Babcock,MU18,6814974,,0:19:07.2,0:38:43.7,0:58:41.4
,,Ben Fick Ski Coaching,,,,,,
83,83,Cody Schneider,MU18,6789739,,0:18:40.5,0:38:31.2,0:58:58.6
,,Lakeland Nordic Ski Team,,,,,,
84,120,Ethan Kennedy,MU23,,,0:18:48.6,0:38:57.7,0:59:11.5
85,105,James Schwinghamer,MU18,6819676,,0:18:54.3,0:38:55.3,0:59:13.1
,,Ely Nordic,,,,,,
86,73,Daniel Groeneveld,MU18,6639009,,0:18:54.0,0:38:54.9,0:59:15.4
,,Copper Country Ski Tigers,,,,,,
87,107,Isaac Coulter,MU18,6746127,,0:19:00.6,0:38:56.2,0:59:17.4
,,Vasa Ski Club/TC Central,,,,,,
88,55,Anders Braaten,MU20,6594533,,0:18:36.3,0:38:52.3,0:59:18.8
,,College of Saint Scholastica,,,,,,
89,67,Leland Johnson,MU20,6750657,,0:17:59.8,0:38:10.8,0:59:25.4
,,Endurance United,,,,,,
90,97,McEwan Rodefeld,MU20,6822381,,0:18:10.2,0:38:31.8,0:59:40.9
,,College of Saint Scholastica,,,,,,
91,111,Thomas Atwood,MU18,6803977,,0:18:55.1,0:38:54.8,0:59:50.7
,,Loppet Nordic Racing,,,,,,
92,68,Nathan Garwood,MU18,6739684,,0:18:55.2,0:39:08.9,1:00:01.7
,,Superiorland Ski Club,,,,,,
93,70,Hans Ernst,MU18,6660443,,0:17:42.3,0:37:54.6,1:00:08.0
,,Bay Nordic,,,,,,
94,79,Galen Resh Chimner,MU18,6640940,,0:18:37.0,0:38:57.6,1:00:14.9
,,Copper Country Ski Tigers,,,,,,
95,64,Joe Wood,MU18,6646236,,0:18:23.2,0:39:06.5,1:00:32.1
,,Copper Country Ski Tigers,,,,,,
96,89,Alexander White,MU20,6822852,,0:18:59.1,0:39:30.9,1:00:37.5
,,Wayzata Nordic Ski Club,,,,,,
97,71,Julien Malherbe,MU18,6740849,,0:18:59.0,0:39:32.7,1:00:58.2
,,Superiorland Ski Club,,,,,,
98,92,John Schwinghamer,MU20,6760805,,0:19:34.4,0:40:38.0,1:01:24.0
,,Mora Ski Club,,,,,,
99,99,Beck Pope,MU18,6810671,,0:19:16.0,0:40:18.0,1:01:24.2
www.SuperiorTiming.com,,,12/20/2017 20:50,,,,,4
Michigan Tech CXC Junior Cup 2017 - Classic Mass Start,,,,,,,,
Results - 12/17/2017,,,,,,,,
Rank,Bib,Name,Class,USSA#,FIS#,5K,10K,Finish
100,125,Thomas Olenchek,MU18,,,0:19:27.2,0:40:16.1,1:01:35.7
,,Peak Nordic,,,,,,
101,72,PJ Rubin,MU18,6724090,,0:18:52.9,0:39:51.6,1:01:39.7
,,Loppet Nordic Racing,,,,,,
102,82,Edward Roe,MU18,6748347,,0:19:14.5,0:40:31.6,1:01:48.5
,,Vasa Ski Club/TC Central,,,,,,
103,103,Riley Halstrom,MU18,6717136,,0:19:11.3,0:40:09.6,1:02:04.8
,,Cathedral High School,,,,,,
104,104,Ian Casper,MU18,6823059,,0:19:24.9,0:40:25.5,1:02:24.4
,,Madison Nordic Ski Club,,,,,,
105,128,Mathurin Gagnon,MU18,,,0:19:33.0,0:40:35.0,1:02:50.9
,,Superiorland Ski Club,,,,,,
106,124,Luke Dykowski,MU20,,,0:19:32.3,0:41:10.4,1:03:25.4
,,Peak Nordic,,,,,,
107,127,Joel Haas,MU20,,,0:19:36.9,0:41:28.6,1:03:45.2
,,Ashwaubenon Nordic Ski Team,,,,,,
108,130,Aleut Hatfield,MU18,,,0:20:15.5,0:42:22.1,1:05:40.4
,,Superiorland Ski Club/MSHS,,,,,,
109,96,Mathias Omann,MU18,6746168,,0:19:44.8,0:41:47.2,1:06:17.3
,,Rebels Nordic,,,,,,
110,119,Matthew Pillifant,MU18,,,0:20:47.9,0:43:25.0,1:06:45.4
,,Superiorland Ski Club,,,,,,
111,88,Blake Weiss,MU18,6808661,,0:20:40.6,0:43:23.8,1:07:27.7
,,Endurance United,,,,,,
112,122,Jackson Pope,MU18,,,0:22:17.0,0:45:34.7,1:09:41.7
,,Muzungu Nordic,,,,,,
113,87,Elliott Smith,MU18,6821987,,0:22:14.8,0:46:24.0,1:10:49.7
,,Vasa Ski Club,,,,,,
114,106,Thomas Lyle,MU18,6822761,,,,1:11:17.1
,,Copper Country Ski Tigers,,,,,,
115,108,Lars Askegaard,MU18,6818934,,0:22:52.8,0:46:58.6,1:11:58.7
,,Minnehaha Academy,,,,,,
116,118,Evan BrownTon,MU18,,,0:23:00.8,0:47:25.4,1:12:30.2
,,Minnehaha Academy,,,,,,
117,117,Ben Komoroske,MU18,,,0:23:25.9,0:49:05.9,1:17:09.0
,,Bay Nordic,,,,,,
*,93,Will Valentin,MU18,6632947,,0:19:02.5,0:40:38.8,DNF
,,Nordicwerks SkiKlubb,,,,,,
*,81,Simon Stouffer,MU20,6801295,,0:18:14.0,,DNF
,,Saint Olaf College,,,,,,
119,,,,,,,,
www.SuperiorTiming.com,,,12/20/2017 20:50,,,,,5
