6,Ryan Mead,Forest Lake,14:22:00
7,Ian Ruh,STW,14:23:00
8,Lars Dewall,STW,14:36:00
9,Dan Lee,Ros,14:42:00
11,Jack DeGonda,STW,14:48:00
12,Charlie Babcock,Forest Lake,14:51:00
13,Try Solberg,WBL,14:55:00
15,Nick Greenlund,Ros,14:59:00
15,Brian Olson,STW,14:59:00
17,Evan Dybvig,STW,15:06:00
18,Nathan Hohenshell,MV,15:09:00
19,Drew Sampson,Forest Lake,15:15:00
19,"Spenser Brown, 12",Irondale,15:15:00
19,Ty Christianson,MV,15:15:00
21,Eli Roll,STW,15:16:00
23,Jack Lange,STW,15:21:00
24,Will Valentin,Forest Lake,15:29:00
25,"Nathan Gahr, 11",Irondale,15:33:00
25,Scott Sheild,WBL,15:33:00
28,Joe Lee,Ros,15:36:00
29,Justin Blank,WBL,15:39:00
32,Beck Pope,Forest Lake,15:42:00
33,Adrik Kraftson,STW,15:49:00
34,Jack Kachel,Ros,16:07:00
35,Joey Quick,Ros,16:12:00
35,"Declan Rodefeld, 9",Irondale,16:19:00
39,Noah Erickson,Forest Lake,16:22:00
40,Austin Atz,Ros,16:34:00
41,Jacob Horvath,WBL,16:43:00
41,Aran Koob,Ros,16:48:00
43,"Tommy Davis, 9",Irondale,16:59:00
44,Nate Moller,MV,17:03:00
44,Peter Grace,STW,17:06:00
46,Jack Hietpas,STW,17:09:00
47,"Jeff Sandkuhler, 11",Irondale,17:10:00
48,Jonathan Saldin,STW,17:10:00
49,Carter Moening,STW,17:11:00
50,Ethan Hebert,Forest Lake,17:12:00
51,Aaron Reiser,Ros,17:19:00
52,Jeremiah VanAcker,Forest Lake,17:27:00
53,Tom Pererria,WBL,17:27:00
54,Justin Reiling,MV,17:44:00
54,"Simon Alexander, 9",Irondale,17:49:00
56,JP Braun,MV,17:59:00
57,Kolby Bachmeier,WBL,18:05:00
59,Quinlan Bonnett,Forest Lake,18:14:00
61,Noah O'Donnell-Hoff,Ros,18:15:00
62,Patrick Roisum,STW,18:22:00
63,Matt Miller,MV,18:24:00

63,Alex Hulteen,STW,18:24:00
65,Liam Fritz,WBL,18:37:00
66,Andres Pope,Forest Lake,18:38:00
67,Nick Fasel,Ros,18:42:00
68,"Chris Gottwaldt, 9",Irondale,18:50:00
69,Jonas Evenstad,Ros,18:56:00
70,Casey,WBL,19:10:00
71,Jordan Bergstrom,MV,19:15:00
72,Isaiah Zak,Forest Lake,19:18:00
73,Chris Medrano,Ros,19:20:00
74,"Sean Praml, 11",Irondale,19:27:00
75,Vincent Ramirez,STW,19:29:00
76,Isaac Reiner,STW,19:36:00
77,Sam Blincow,Ros,19:38:00
78,Dan Beletsky,STW,19:41:00
78,Sam Teidke,STW,19:46:00
80,Bryce Albrecht,STW,19:59:00
81,Peter Goodwin,MV,20:01:00
82,Dustin Knighton,STW,20:05:00
83,Jing Lin,Ros,20:06:00
84,"Andy Houfek, 11",Irondale,20:11:00
85,Josh Zimmer,STW,20:15:00
86,Griffin McComas,MV,20:18:00
87,Danny Zamow,MV,20:19:00
88,Griffin Glazebrook,PWER,20:20:00
89,Braden Hubert,Ros,20:30:00
89,Sam Moberg,Forest Lake,20:44:00
91,Damien Langer,Forest Lake,20:48:00
92,Kai Poecher,MV,20:53:00
93,Max Smitten,STW,21:00:00
94,Isaac Brown,STW,21:03:00
95,Tyler Johnson,STW,21:12:00
96,Charley Korman,STW,21:15:00
97,Mitchell Gustafson,PWER,21:16:00
98,Donovan Roddy,STW,21:19:00
99,Kellen Carlson,MV,21:20:00
100,Connor Lange,STW,21:21:00
101,Dylan Mckellips,STW,21:31:00
102,Bjorn Torvi,Ros,22:04:00
103,William Dahlke,STW,22:12:00
104,Lane Gessler,STW,22:14:00
105,Laken Hairston,MV,22:15:00
106,Charles Koelzer,STW,23:02:00
107,Tanner Lange,STW,23:25:00
108,Henry Kelzenberg,STW,23:29:00
109,Kaspar Millfelt,STW,23:31:00
110,Zach Skinner,PWER,23:41:00
111,Johannes Bolzman,STW,24:02:00
112,Giacomo Zuliani,PWER,24:09:00
113,"Kojo Herzog, 12",Irondale,24:11:00
114,Hayden,WBL,24:21:00
115,Isaac,WBL,24:39:00
116,Joel Rodich,Ros,24:47:00
117,Charles Johnson,STW,25:32:00
118,Matt Walker,MV,25:34:00

119,Benjamin Watry,STW,25:51:00
120,Caleb Walbon,MV,26:09:00
121,Bennett Harrison-Michaels,Ros,26:09:00
122,Dan Haas,Ros,26:13:00
123,Noah Greer,MV,27:35:00
124,Charlie Aasen,MV,27:41:00
125,Matt Crain,STW,28:05:00
126,Armstrong O'Connell,Ros,28:19:00
127,Tommy Dahl,STW,28:48:00
128,Carter Hagel,PWER,30:03:00
129,Nick,WBL,30:23:00
130,John Maki,Ros,30:36:00
131,Dominick Berthiaume,Ros,30:36:00
132,Charles Burkhardt,Ros,30:38:00
133,Harvey Tsang,Ros,31:06:00
134,Carl Almer,STW,32:29:00
135,Alexander Vasil,Ros,36:26:00
136,Levi Hutton,STW,37:45:00
137,Britt Harrison,ER,18:02:00
138,Eleasha Mckenzie,ER,18:49:00
139,Kendra Besser,ER,19:14:00
140,Sophia Pfluger,ER,21:20:00
141,Mary Kenney,ER,22:17:00
142,Erika Harrison,ER,22:36:00
143,Grace Anderson,ER,22:39:00
144,Bella Carpentier,ER,22:41:00
145,Ava Larson,ER,23:32:00
146,Elin Harrison,ER,23:33:00
147,Allison Krish,ER,24:01:00
148,Tatum Geving,ER,26:05:00
149,Olivia Lingert,ER,28:08:00
150,Emily Poor,ER,29:28:00
151,Ethan Storm,ER,15:46:00
152,Michael Kenney,ER,16:06:00
153,Joey Del Toro,ER,17:02:00
154,Sean Schiferl,ER,17:02:00
155,Alex fournier,ER,18:16:00
156,Joey Gounili,ER,18:38:00
157,Tyler McKenzie,ER,18:47:00
158,Luke Laingen,ER,19:26:00
159,Jacob Daubenberger,ER,19:44:00
160,Brandon McKenzie,ER,20:17:00
161,Sean McNeish,ER,20:32:00
162,James Stensrup,ER,21:03:00
163,Peter Anderson,ER,22:04:00
164,Joe Shoemaker,ER,22:09:00
165,Jake Johnson,ER,25:18:00
166,Ian McNeish,ER,28:30:00
167,David Kyhlstedt,ER,29:34:00
